text,entity_idx,start_pos,end_pos,score
"​​Что происходит этим утром?  #мысли_управляющего  1. Фонды перекладываются: с достижением 90+ по доллару очевидно, что в следующие 12 мес. больше попутного ветра будет у нефтегаза, чем у металлургов - трейд в ненефтяных экспортерах заканчивается (там деньги уже заработаны), а в нефтегазе все ещё впереди  Кроме того, как мы разобрали в Пирогах, есть причины сокращать Тиньков, OZON или Яндекс до 1 сентября.  2. Нефть растет. Уже больше +4% за неделю в результате действий ОПЕК и низких запасов топлива перед летним сезоном  3. КарМани решил сделать шаг цены в акциях = 0.1 (3%) - это исключает лишние спекуляции. Кроме того, там встал маркет-мейкер с 95 млн. Р на покупку и продажу  В целом, хороший ход, я такое решение поддерживаю - будет меньше мельтешений, больше инвесторов.  Что я в целом думаю об этом рынке? - думаю, что перекладка фондов в июле затащит рынок выше, в сторону 2,930 по индексу. Даже дивгэпы в Роснефти и Татнефти могут закрыться быстро. Но т.к. это механический рост на перекладке, то ничего не мешает дальше вступить в силу спекулятивным факторам и этот рост полностью слить... так что мы окажется ниже 2800 по индексу Мосбиржи, едва покорив 2900...",163,931,938,3
"​​Что происходит этим утром?  #мысли_управляющего  1. Фонды перекладываются: с достижением 90+ по доллару очевидно, что в следующие 12 мес. больше попутного ветра будет у нефтегаза, чем у металлургов - трейд в ненефтяных экспортерах заканчивается (там деньги уже заработаны), а в нефтегазе все ещё впереди  Кроме того, как мы разобрали в Пирогах, есть причины сокращать Тиньков, OZON или Яндекс до 1 сентября.  2. Нефть растет. Уже больше +4% за неделю в результате действий ОПЕК и низких запасов топлива перед летним сезоном  3. КарМани решил сделать шаг цены в акциях = 0.1 (3%) - это исключает лишние спекуляции. Кроме того, там встал маркет-мейкер с 95 млн. Р на покупку и продажу  В целом, хороший ход, я такое решение поддерживаю - будет меньше мельтешений, больше инвесторов.  Что я в целом думаю об этом рынке? - думаю, что перекладка фондов в июле затащит рынок выше, в сторону 2,930 по индексу. Даже дивгэпы в Роснефти и Татнефти могут закрыться быстро. Но т.к. это механический рост на перекладке, то ничего не мешает дальше вступить в силу спекулятивным факторам и этот рост полностью слить... так что мы окажется ниже 2800 по индексу Мосбиржи, едва покорив 2900...",103,1147,1154,3
"​​#мысли_аналитика #SD #MGNT  КАК ПОВЛИЯЕТ НА МАГНИТ ПОКУПКА ДИКСИ  “Магнит” договорился о покупке магазинов “Дикси”. В рамках сделки будет приобретено 2612 магазинов “Дикси”, а также 39 торговых точек под брендом “Мегамарт”. Предварительная оценка бизнеса – 92,4 млрд руб. Сделку предстоит согласовать в ФАС. Ожидаемая дата закрытия сделки – до 31 августа (возможно продление срока до 30 сентября).   На днях в рамках подписки мы выпустили оценку Магнита с учётом влияния предстоящей покупки Дикси для клиентов, кто держит акции (доходность нашей инвест идеи в акциях ритейлера с ноября 16%). Решила поделиться ключевыми моментами в этом посте   Основные выводы: • Сделка поможет Магниту усилить позиции на столичных рынках, в то время как экспансия заняла бы большее время и была бы затруднительной из-за нехватки качественных локаций, которые есть у Дикси • Сделка увеличит долговую нагрузку и создаст риски сохранения объема див выплаты, которые мы оцениваем как умеренные (базово считаем, что объём выплаты сохранится)  ПОСТ  Senior analyst Светлана Дубровина  @littlecreator",89,24,27,4
"​​#мысли_аналитика #SD #MGNT  КАК ПОВЛИЯЕТ НА МАГНИТ ПОКУПКА ДИКСИ  “Магнит” договорился о покупке магазинов “Дикси”. В рамках сделки будет приобретено 2612 магазинов “Дикси”, а также 39 торговых точек под брендом “Мегамарт”. Предварительная оценка бизнеса – 92,4 млрд руб. Сделку предстоит согласовать в ФАС. Ожидаемая дата закрытия сделки – до 31 августа (возможно продление срока до 30 сентября).   На днях в рамках подписки мы выпустили оценку Магнита с учётом влияния предстоящей покупки Дикси для клиентов, кто держит акции (доходность нашей инвест идеи в акциях ритейлера с ноября 16%). Решила поделиться ключевыми моментами в этом посте   Основные выводы: • Сделка поможет Магниту усилить позиции на столичных рынках, в то время как экспансия заняла бы большее время и была бы затруднительной из-за нехватки качественных локаций, которые есть у Дикси • Сделка увеличит долговую нагрузку и создаст риски сохранения объема див выплаты, которые мы оцениваем как умеренные (базово считаем, что объём выплаты сохранится)  ПОСТ  Senior analyst Светлана Дубровина  @littlecreator",89,24,27,4
"​​#мысли_аналитика #SD #MGNT  КАК ПОВЛИЯЕТ НА МАГНИТ ПОКУПКА ДИКСИ  “Магнит” договорился о покупке магазинов “Дикси”. В рамках сделки будет приобретено 2612 магазинов “Дикси”, а также 39 торговых точек под брендом “Мегамарт”. Предварительная оценка бизнеса – 92,4 млрд руб. Сделку предстоит согласовать в ФАС. Ожидаемая дата закрытия сделки – до 31 августа (возможно продление срока до 30 сентября).   На днях в рамках подписки мы выпустили оценку Магнита с учётом влияния предстоящей покупки Дикси для клиентов, кто держит акции (доходность нашей инвест идеи в акциях ритейлера с ноября 16%). Решила поделиться ключевыми моментами в этом посте   Основные выводы: • Сделка поможет Магниту усилить позиции на столичных рынках, в то время как экспансия заняла бы большее время и была бы затруднительной из-за нехватки качественных локаций, которые есть у Дикси • Сделка увеличит долговую нагрузку и создаст риски сохранения объема див выплаты, которые мы оцениваем как умеренные (базово считаем, что объём выплаты сохранится)  ПОСТ  Senior analyst Светлана Дубровина  @littlecreator",89,46,51,4
"​​#мысли_аналитика #SD #MGNT  КАК ПОВЛИЯЕТ НА МАГНИТ ПОКУПКА ДИКСИ  “Магнит” договорился о покупке магазинов “Дикси”. В рамках сделки будет приобретено 2612 магазинов “Дикси”, а также 39 торговых точек под брендом “Мегамарт”. Предварительная оценка бизнеса – 92,4 млрд руб. Сделку предстоит согласовать в ФАС. Ожидаемая дата закрытия сделки – до 31 августа (возможно продление срока до 30 сентября).   На днях в рамках подписки мы выпустили оценку Магнита с учётом влияния предстоящей покупки Дикси для клиентов, кто держит акции (доходность нашей инвест идеи в акциях ритейлера с ноября 16%). Решила поделиться ключевыми моментами в этом посте   Основные выводы: • Сделка поможет Магниту усилить позиции на столичных рынках, в то время как экспансия заняла бы большее время и была бы затруднительной из-за нехватки качественных локаций, которые есть у Дикси • Сделка увеличит долговую нагрузку и создаст риски сохранения объема див выплаты, которые мы оцениваем как умеренные (базово считаем, что объём выплаты сохранится)  ПОСТ  Senior analyst Светлана Дубровина  @littlecreator",89,69,74,4
"​​#мысли_аналитика #SD #MGNT  КАК ПОВЛИЯЕТ НА МАГНИТ ПОКУПКА ДИКСИ  “Магнит” договорился о покупке магазинов “Дикси”. В рамках сделки будет приобретено 2612 магазинов “Дикси”, а также 39 торговых точек под брендом “Мегамарт”. Предварительная оценка бизнеса – 92,4 млрд руб. Сделку предстоит согласовать в ФАС. Ожидаемая дата закрытия сделки – до 31 августа (возможно продление срока до 30 сентября).   На днях в рамках подписки мы выпустили оценку Магнита с учётом влияния предстоящей покупки Дикси для клиентов, кто держит акции (доходность нашей инвест идеи в акциях ритейлера с ноября 16%). Решила поделиться ключевыми моментами в этом посте   Основные выводы: • Сделка поможет Магниту усилить позиции на столичных рынках, в то время как экспансия заняла бы большее время и была бы затруднительной из-за нехватки качественных локаций, которые есть у Дикси • Сделка увеличит долговую нагрузку и создаст риски сохранения объема див выплаты, которые мы оцениваем как умеренные (базово считаем, что объём выплаты сохранится)  ПОСТ  Senior analyst Светлана Дубровина  @littlecreator",89,448,454,4
"​​#мысли_аналитика #SD #MGNT  КАК ПОВЛИЯЕТ НА МАГНИТ ПОКУПКА ДИКСИ  “Магнит” договорился о покупке магазинов “Дикси”. В рамках сделки будет приобретено 2612 магазинов “Дикси”, а также 39 торговых точек под брендом “Мегамарт”. Предварительная оценка бизнеса – 92,4 млрд руб. Сделку предстоит согласовать в ФАС. Ожидаемая дата закрытия сделки – до 31 августа (возможно продление срока до 30 сентября).   На днях в рамках подписки мы выпустили оценку Магнита с учётом влияния предстоящей покупки Дикси для клиентов, кто держит акции (доходность нашей инвест идеи в акциях ритейлера с ноября 16%). Решила поделиться ключевыми моментами в этом посте   Основные выводы: • Сделка поможет Магниту усилить позиции на столичных рынках, в то время как экспансия заняла бы большее время и была бы затруднительной из-за нехватки качественных локаций, которые есть у Дикси • Сделка увеличит долговую нагрузку и создаст риски сохранения объема див выплаты, которые мы оцениваем как умеренные (базово считаем, что объём выплаты сохранится)  ПОСТ  Senior analyst Светлана Дубровина  @littlecreator",89,681,687,4
"​​Обвал рынка  #trading_1  Всем привет! На связи Сергей. Чувствую, вчерашний день застал многих врасплох, и в воскресенье многие не готовились к обвалу рынка в понедельник утром.   В итоге, РТС -12% / ММВБ -8.5% В этой связи, как управляющий портфелем InvestHeroes, на балансе которого 100К в акциях, чувствую себя как волк в курятнике… Курятнике, который полон еды, но горит.  Поскольку на нашем канале много новичков, прежде чем освещать трейды сегодня и вчера, я решил написать о том, что делать в панику. Мой основной портфель на России вчера неплохо потрепало, но по итогам дня я зафиксировал –убыток 5.5%, а сегодня заработал 1.5%. В общем, заметно лучше индекса, хотя акции с большими весами в моем портфеле падали и на 10-15%.  Итак, если рынок рушится в результате большого геополитического риска и санкций, а у вас 100% денег проинвестировано в акции, и они горят на ваших глазах, советую делать следующее:  1. Определите, что наиболее подвержено риску и продайте это немедленно – в первый час торгов. Цель – получить 20-30% свободных денег (они не горят). Длинные падения длятся не 1 день, и «хитренькие», которые решат переждать, будут сегодня же или завтра продавать ещё на 5-10% дешевле.  2. Запускайте хедж: продайте фьючерс на индекс акций (ММВБ/РТС) на сумму, эквивалентную 50-70% вашего портфеля акций – так вы будете зарабатывать на падении, и компенсировать неизбежные убытки по непроданным позициям.  3. Пробуйте заработать: у любой паники есть повод, и на эмоциях ряд активов падает сильно хуже рынка: вчера таковым был Сбербанк, из которого выходили нерезиденты – даже открыв шорт не утром, я вчера хорошо заработал на его падении.  Соответственно, коли ударила паника, сохраняйте спокойствие, и пользуйтесь моментом:  1. Ваша задача – смягчить падение в первый день и, возможно, даже заработать во второй, а по итогу недели – не потерять очень много.  2. Готовьтесь подбирать подешевевшие акции: многие из них окажутся значительно дешевле справедливых оценок, и ваша цель – заработать на их восстановлении и более вкусных дивидендах больше, чем вы успеете потерять на неожиданном обвале.  3. Покупайте очень медленно – не забывайте, что возможны новые просадки, денег у вас меньше, а шанс на «быстрый рост на 20% за месяц, начиная с завтра» невелики.  В вечернем посте мы расскажем о нашей первой покупке в портфель InvestHeroes. Хороших вам торгов! А тем, кто ещё вне рынка – бегите открывать счета!  Словарь терминов",150,1542,1549,2
"ПОРТФЕЛЬ АКЦИЙ: зима близко  #trading_62  Акции – снова на связи.    ПМЭФ завершен. Подведем итоги дня и недели:  1) Сегодня мы заработали – доходность выросла c 9.3% до 9.5% (за неделю -1.6% vs. индекс -1.1%)   2) Мы сократили leverage портфеля со 120% до 113%   3) Продолжили ребелансировку портфеля: зафикисировали профит в РАСПАДСКОЙ и частично X5 Retail; отказались от идеи с ВТБ и вошли в ЭНЕЛ Россия   Позитив на рынке, похоже, подходит к концу (об этом ниже по тексту)  Читать далее",129,327,336,4
"ПОРТФЕЛЬ АКЦИЙ: зима близко  #trading_62  Акции – снова на связи.    ПМЭФ завершен. Подведем итоги дня и недели:  1) Сегодня мы заработали – доходность выросла c 9.3% до 9.5% (за неделю -1.6% vs. индекс -1.1%)   2) Мы сократили leverage портфеля со 120% до 113%   3) Продолжили ребелансировку портфеля: зафикисировали профит в РАСПАДСКОЙ и частично X5 Retail; отказались от идеи с ВТБ и вошли в ЭНЕЛ Россия   Позитив на рынке, похоже, подходит к концу (об этом ниже по тексту)  Читать далее",7,381,383,1
"ПОРТФЕЛЬ АКЦИЙ: зима близко  #trading_62  Акции – снова на связи.    ПМЭФ завершен. Подведем итоги дня и недели:  1) Сегодня мы заработали – доходность выросла c 9.3% до 9.5% (за неделю -1.6% vs. индекс -1.1%)   2) Мы сократили leverage портфеля со 120% до 113%   3) Продолжили ребелансировку портфеля: зафикисировали профит в РАСПАДСКОЙ и частично X5 Retail; отказались от идеи с ВТБ и вошли в ЭНЕЛ Россия   Позитив на рынке, похоже, подходит к концу (об этом ниже по тексту)  Читать далее",197,395,405,4
"📊Дивидендный обзор: МосБиржа  Московская биржа — крупнейший российский биржевой холдинг, является организатором торгов акциями, облигациями, производными инструментами, валютой, инструментами денежного рынка, углеродными единицами, драгоценными металлами, зерном и сахаром.  Финансовые результаты  13 ноября компания опубликовала финансовые результаты за III кв. 2023 г. по МСФО.  - Комиссионные доходы: 14,37 млрд руб. (+60,9% г/г) - Процентные доходы: 11,21 млрд руб. (+21,8% г/г) - Показатель EBITDA: 20,6 млрд руб. (+72,8% г/г) - Чистая прибыль: 14,3 млрд руб. (+63,9% г/г)  Биржа демонстрирует ожидаемо сильные показатели на фоне роста процентных ставок и увеличения доходов от комиссионных во всех сегментах биржи. Также, прибыль выросла за счёт восстановления резервов на 1,3 млрд руб.  Дивиденды  Напомним в конце сентября МосБиржа утвердила новую дивидендную политику, предполагающую минимальный уровень дивидендных выплат в размере 50% от чистой прибыли по МСФО. Кроме этого, биржа не отрицает вероятности выплат промежуточных дивидендов.  Таким образом, если МосБиржа выплатит дивиденды за 9 мес. 2023 г., они составят около 9 руб. на акцию. Потенциальная дивдоходность составит 4,45%, что в свою очередь низко по сравнению с другими акциями.  Мнение  Учитывая высокую волатильность, текущие и предстоящие IPO, МосБиржа сохранит высокие комиссионные доходы в IV кв. 2023 г. А высокая ключевая ставка обеспечит повышенные процентные доходы. Более того, на фоне притока дивидендов на брокерские счета, мы ждём сильные показатели в I кв. 2024 г.  Тем не менее, мы не видим потенциала в акциях МосБиржи для дальнейшего роста. Если кто-то покупал существенно ниже, то можно продолжать держать до финальных дивидендов за 2023 г. и результатов за I кв. 2024 г. Мы пока сохраняем акции МосБиржи в портфеле ""Дивиденды РФ"" со средней ценой покупки 108,27 руб., планируем сокращать позицию в I пол. 2024 г.  Более того, в новой стратегии биржи, менеджмент ожидает чистую прибыль к 2028 г. более 65 млрд руб. Таким образом, если к 2028 г. цель биржи по прибыли будет достигнута, то минимальный дивиденд на акцию будет всего 14,2 руб. Получается, все кто купил акции выше 150 руб., дивдоходность будет не такая интересная и лучше выбрать более доходные акции с точки зрения дивидендной доходности.   #Дивидендыйобзор #MOEX  👉На этой неделе опубликуем ещё 3 обзора специльно для подписчиков Дивиденды онлайн ПРО, вчера участники подписки уже получили дивидендый обзор Совкомфлота по результатм за III кв. 2023 г. и прогноз дивидендов.  💼Дивиденды онлайн ПРО – это ваш помощник для создания источника пассивного дохода от @divonline",103,2316,2319,2
"📊Дивидендный обзор: МосБиржа  Московская биржа — крупнейший российский биржевой холдинг, является организатором торгов акциями, облигациями, производными инструментами, валютой, инструментами денежного рынка, углеродными единицами, драгоценными металлами, зерном и сахаром.  Финансовые результаты  13 ноября компания опубликовала финансовые результаты за III кв. 2023 г. по МСФО.  - Комиссионные доходы: 14,37 млрд руб. (+60,9% г/г) - Процентные доходы: 11,21 млрд руб. (+21,8% г/г) - Показатель EBITDA: 20,6 млрд руб. (+72,8% г/г) - Чистая прибыль: 14,3 млрд руб. (+63,9% г/г)  Биржа демонстрирует ожидаемо сильные показатели на фоне роста процентных ставок и увеличения доходов от комиссионных во всех сегментах биржи. Также, прибыль выросла за счёт восстановления резервов на 1,3 млрд руб.  Дивиденды  Напомним в конце сентября МосБиржа утвердила новую дивидендную политику, предполагающую минимальный уровень дивидендных выплат в размере 50% от чистой прибыли по МСФО. Кроме этого, биржа не отрицает вероятности выплат промежуточных дивидендов.  Таким образом, если МосБиржа выплатит дивиденды за 9 мес. 2023 г., они составят около 9 руб. на акцию. Потенциальная дивдоходность составит 4,45%, что в свою очередь низко по сравнению с другими акциями.  Мнение  Учитывая высокую волатильность, текущие и предстоящие IPO, МосБиржа сохранит высокие комиссионные доходы в IV кв. 2023 г. А высокая ключевая ставка обеспечит повышенные процентные доходы. Более того, на фоне притока дивидендов на брокерские счета, мы ждём сильные показатели в I кв. 2024 г.  Тем не менее, мы не видим потенциала в акциях МосБиржи для дальнейшего роста. Если кто-то покупал существенно ниже, то можно продолжать держать до финальных дивидендов за 2023 г. и результатов за I кв. 2024 г. Мы пока сохраняем акции МосБиржи в портфеле ""Дивиденды РФ"" со средней ценой покупки 108,27 руб., планируем сокращать позицию в I пол. 2024 г.  Более того, в новой стратегии биржи, менеджмент ожидает чистую прибыль к 2028 г. более 65 млрд руб. Таким образом, если к 2028 г. цель биржи по прибыли будет достигнута, то минимальный дивиденд на акцию будет всего 14,2 руб. Получается, все кто купил акции выше 150 руб., дивдоходность будет не такая интересная и лучше выбрать более доходные акции с точки зрения дивидендной доходности.   #Дивидендыйобзор #MOEX  👉На этой неделе опубликуем ещё 3 обзора специльно для подписчиков Дивиденды онлайн ПРО, вчера участники подписки уже получили дивидендый обзор Совкомфлота по результатм за III кв. 2023 г. и прогноз дивидендов.  💼Дивиденды онлайн ПРО – это ваш помощник для создания источника пассивного дохода от @divonline",103,20,27,2
"📊Дивидендный обзор: МосБиржа  Московская биржа — крупнейший российский биржевой холдинг, является организатором торгов акциями, облигациями, производными инструментами, валютой, инструментами денежного рынка, углеродными единицами, драгоценными металлами, зерном и сахаром.  Финансовые результаты  13 ноября компания опубликовала финансовые результаты за III кв. 2023 г. по МСФО.  - Комиссионные доходы: 14,37 млрд руб. (+60,9% г/г) - Процентные доходы: 11,21 млрд руб. (+21,8% г/г) - Показатель EBITDA: 20,6 млрд руб. (+72,8% г/г) - Чистая прибыль: 14,3 млрд руб. (+63,9% г/г)  Биржа демонстрирует ожидаемо сильные показатели на фоне роста процентных ставок и увеличения доходов от комиссионных во всех сегментах биржи. Также, прибыль выросла за счёт восстановления резервов на 1,3 млрд руб.  Дивиденды  Напомним в конце сентября МосБиржа утвердила новую дивидендную политику, предполагающую минимальный уровень дивидендных выплат в размере 50% от чистой прибыли по МСФО. Кроме этого, биржа не отрицает вероятности выплат промежуточных дивидендов.  Таким образом, если МосБиржа выплатит дивиденды за 9 мес. 2023 г., они составят около 9 руб. на акцию. Потенциальная дивдоходность составит 4,45%, что в свою очередь низко по сравнению с другими акциями.  Мнение  Учитывая высокую волатильность, текущие и предстоящие IPO, МосБиржа сохранит высокие комиссионные доходы в IV кв. 2023 г. А высокая ключевая ставка обеспечит повышенные процентные доходы. Более того, на фоне притока дивидендов на брокерские счета, мы ждём сильные показатели в I кв. 2024 г.  Тем не менее, мы не видим потенциала в акциях МосБиржи для дальнейшего роста. Если кто-то покупал существенно ниже, то можно продолжать держать до финальных дивидендов за 2023 г. и результатов за I кв. 2024 г. Мы пока сохраняем акции МосБиржи в портфеле ""Дивиденды РФ"" со средней ценой покупки 108,27 руб., планируем сокращать позицию в I пол. 2024 г.  Более того, в новой стратегии биржи, менеджмент ожидает чистую прибыль к 2028 г. более 65 млрд руб. Таким образом, если к 2028 г. цель биржи по прибыли будет достигнута, то минимальный дивиденд на акцию будет всего 14,2 руб. Получается, все кто купил акции выше 150 руб., дивдоходность будет не такая интересная и лучше выбрать более доходные акции с точки зрения дивидендной доходности.   #Дивидендыйобзор #MOEX  👉На этой неделе опубликуем ещё 3 обзора специльно для подписчиков Дивиденды онлайн ПРО, вчера участники подписки уже получили дивидендый обзор Совкомфлота по результатм за III кв. 2023 г. и прогноз дивидендов.  💼Дивиденды онлайн ПРО – это ваш помощник для создания источника пассивного дохода от @divonline",103,30,45,2
"📊Дивидендный обзор: МосБиржа  Московская биржа — крупнейший российский биржевой холдинг, является организатором торгов акциями, облигациями, производными инструментами, валютой, инструментами денежного рынка, углеродными единицами, драгоценными металлами, зерном и сахаром.  Финансовые результаты  13 ноября компания опубликовала финансовые результаты за III кв. 2023 г. по МСФО.  - Комиссионные доходы: 14,37 млрд руб. (+60,9% г/г) - Процентные доходы: 11,21 млрд руб. (+21,8% г/г) - Показатель EBITDA: 20,6 млрд руб. (+72,8% г/г) - Чистая прибыль: 14,3 млрд руб. (+63,9% г/г)  Биржа демонстрирует ожидаемо сильные показатели на фоне роста процентных ставок и увеличения доходов от комиссионных во всех сегментах биржи. Также, прибыль выросла за счёт восстановления резервов на 1,3 млрд руб.  Дивиденды  Напомним в конце сентября МосБиржа утвердила новую дивидендную политику, предполагающую минимальный уровень дивидендных выплат в размере 50% от чистой прибыли по МСФО. Кроме этого, биржа не отрицает вероятности выплат промежуточных дивидендов.  Таким образом, если МосБиржа выплатит дивиденды за 9 мес. 2023 г., они составят около 9 руб. на акцию. Потенциальная дивдоходность составит 4,45%, что в свою очередь низко по сравнению с другими акциями.  Мнение  Учитывая высокую волатильность, текущие и предстоящие IPO, МосБиржа сохранит высокие комиссионные доходы в IV кв. 2023 г. А высокая ключевая ставка обеспечит повышенные процентные доходы. Более того, на фоне притока дивидендов на брокерские счета, мы ждём сильные показатели в I кв. 2024 г.  Тем не менее, мы не видим потенциала в акциях МосБиржи для дальнейшего роста. Если кто-то покупал существенно ниже, то можно продолжать держать до финальных дивидендов за 2023 г. и результатов за I кв. 2024 г. Мы пока сохраняем акции МосБиржи в портфеле ""Дивиденды РФ"" со средней ценой покупки 108,27 руб., планируем сокращать позицию в I пол. 2024 г.  Более того, в новой стратегии биржи, менеджмент ожидает чистую прибыль к 2028 г. более 65 млрд руб. Таким образом, если к 2028 г. цель биржи по прибыли будет достигнута, то минимальный дивиденд на акцию будет всего 14,2 руб. Получается, все кто купил акции выше 150 руб., дивдоходность будет не такая интересная и лучше выбрать более доходные акции с точки зрения дивидендной доходности.   #Дивидендыйобзор #MOEX  👉На этой неделе опубликуем ещё 3 обзора специльно для подписчиков Дивиденды онлайн ПРО, вчера участники подписки уже получили дивидендый обзор Совкомфлота по результатм за III кв. 2023 г. и прогноз дивидендов.  💼Дивиденды онлайн ПРО – это ваш помощник для создания источника пассивного дохода от @divonline",103,831,838,2
"📊Дивидендный обзор: МосБиржа  Московская биржа — крупнейший российский биржевой холдинг, является организатором торгов акциями, облигациями, производными инструментами, валютой, инструментами денежного рынка, углеродными единицами, драгоценными металлами, зерном и сахаром.  Финансовые результаты  13 ноября компания опубликовала финансовые результаты за III кв. 2023 г. по МСФО.  - Комиссионные доходы: 14,37 млрд руб. (+60,9% г/г) - Процентные доходы: 11,21 млрд руб. (+21,8% г/г) - Показатель EBITDA: 20,6 млрд руб. (+72,8% г/г) - Чистая прибыль: 14,3 млрд руб. (+63,9% г/г)  Биржа демонстрирует ожидаемо сильные показатели на фоне роста процентных ставок и увеличения доходов от комиссионных во всех сегментах биржи. Также, прибыль выросла за счёт восстановления резервов на 1,3 млрд руб.  Дивиденды  Напомним в конце сентября МосБиржа утвердила новую дивидендную политику, предполагающую минимальный уровень дивидендных выплат в размере 50% от чистой прибыли по МСФО. Кроме этого, биржа не отрицает вероятности выплат промежуточных дивидендов.  Таким образом, если МосБиржа выплатит дивиденды за 9 мес. 2023 г., они составят около 9 руб. на акцию. Потенциальная дивдоходность составит 4,45%, что в свою очередь низко по сравнению с другими акциями.  Мнение  Учитывая высокую волатильность, текущие и предстоящие IPO, МосБиржа сохранит высокие комиссионные доходы в IV кв. 2023 г. А высокая ключевая ставка обеспечит повышенные процентные доходы. Более того, на фоне притока дивидендов на брокерские счета, мы ждём сильные показатели в I кв. 2024 г.  Тем не менее, мы не видим потенциала в акциях МосБиржи для дальнейшего роста. Если кто-то покупал существенно ниже, то можно продолжать держать до финальных дивидендов за 2023 г. и результатов за I кв. 2024 г. Мы пока сохраняем акции МосБиржи в портфеле ""Дивиденды РФ"" со средней ценой покупки 108,27 руб., планируем сокращать позицию в I пол. 2024 г.  Более того, в новой стратегии биржи, менеджмент ожидает чистую прибыль к 2028 г. более 65 млрд руб. Таким образом, если к 2028 г. цель биржи по прибыли будет достигнута, то минимальный дивиденд на акцию будет всего 14,2 руб. Получается, все кто купил акции выше 150 руб., дивдоходность будет не такая интересная и лучше выбрать более доходные акции с точки зрения дивидендной доходности.   #Дивидендыйобзор #MOEX  👉На этой неделе опубликуем ещё 3 обзора специльно для подписчиков Дивиденды онлайн ПРО, вчера участники подписки уже получили дивидендый обзор Совкомфлота по результатм за III кв. 2023 г. и прогноз дивидендов.  💼Дивиденды онлайн ПРО – это ваш помощник для создания источника пассивного дохода от @divonline",103,1070,1077,2
